ASSERTION	AAMEAAEBBgAAAAAAAECPQA==
ASSERTION	AAIEAAEBBgAAAAAAAECPQA==
ASSERTION	AAEAAQtCb29rRmxpZ2h0cwQAAQEGAAAAAAAAQI9A
ASSERTION	AAMDAAMFAAAAAAAAAFlA
RUN	GatlingPractice	gatlingpractice	1605911075751	 	3.0.2
USER	GatlingPractice	1	START	1605911077113	1605911077113
USER	GatlingPractice	2	START	1605911077139	1605911077139
REQUEST	1		HomePage	1605911077137	1605911077915	OK	 
REQUEST	2		HomePage	1605911077140	1605911077915	OK	 
REQUEST	1		SearchFlight	1605911086769	1605911087225	OK	 
REQUEST	2		SearchFlight	1605911086769	1605911087225	OK	 
REQUEST	2		SelectFlight	1605911092569	1605911092958	OK	 
REQUEST	1		SelectFlight	1605911092579	1605911092958	OK	 
REQUEST	1		BookFlights	1605911104406	1605911104838	OK	 
REQUEST	2		BookFlights	1605911104407	1605911104838	OK	 
USER	GatlingPractice	2	END	1605911077139	1605911105139
USER	GatlingPractice	1	END	1605911077113	1605911105154
